region,holocene_rsl,gps,lat,long,gps_rate,gps_rate_avg,real_rsl,real_gps,real_gps_avg
1,-1±??,SJNB,45.268,-66.05,-0.8±0.3,-0.8± 0.3,-1,-0.8,-0.8
2,-0.7±0.1,BARH,44.395,-68.222,0.2±0.1,0.3±0.1,-0.7,0.2,0.3
2,-0.7±0.1,PNB1,44.452,-68.772,0.4±0.1,0.3±0.1,-0.7,0.4,0.3
3,-0.7±0.5,BRU1,43.89,-69.947,0.2±0.0,0.1±0.2,-0.7,0.2,0.1
3,-0.7±0.5,YMTS,43.799,-70.189,0.0±0.1,0.1±0.2,-0.7,0.0,0.1
3,-0.7±0.5,MEGO,43.681,-70.451,0.2±0.2,0.1±0.2,-0.7,0.2,0.1
4,-0.6±0.1,ZBW1,42.736,-71.48,-0.6±0.1,-0.7±0.3,-0.6,-0.6,-0.7
4,-0.6±0.1,WMTS,42.484,-71.158,-1.0±0.2,-0.7±0.3,-0.6,-1.0,-0.7
4,-0.6±0.1,HMTS,42.108,-70.811,-0.7±0.2,-0.7±0.3,-0.6,-0.7,-0.7
4,-0.6±0.1,XMTS,42.064,-71.25,-0.6±0.1,-0.7±0.3,-0.6,-0.6,-0.7
5,-1.2±0.2,OMTS,41.776,-70.007,-1.5±0.2,-1.5±0.3,-1.2,-1.5,-1.5
5,-1.2±0.2,ACU5,41.744,-70.887,-1.6±0.1,-1.5±0.3,-1.2,-1.6,-1.5
5,-1.2±0.2,ACU6,41.743,-70.887,-1.6±0.1,-1.5±0.3,-1.2,-1.6,-1.5
5,-1.2±0.2,AMTS,41.742,-70.617,-1.5±0.1,-1.5±0.3,-1.2,-1.5,-1.5
5,-1.2±0.2,IMTS,41.263,-70.061,-1.4±0.1,-1.5±0.3,-1.2,-1.4,-1.5
6,-1.1±0.1,CTGR,41.335,-72.05,-1.2±0.1,-1.0±0.2,-1.1,-1.2,-1.0
6,-1.1±0.1,URIL,41.335,-72.05,-0.9±0.2,-1.0±0.2,-1.1,-0.9,-1.0
6,-1.1±0.1,CTGU,41.289,-72.668,-1.0±0.1,-1.0±0.2,-1.1,-1.0,-1.0
7,-1.2±0.1,NYNB,41.495,-74.026,-1.3±0.1,-1.1±0.2,-1.2,-1.3,-1.1
7,-1.2±0.1,NYMD,41.407,-74.443,-1.3±0.1,-1.1±0.2,-1.2,-1.3,-1.1
7,-1.2±0.1,NYVH,41.082,-73.818,-1.5±0.1,-1.1±0.2,-1.2,-1.5,-1.1
7,-1.2±0.1,LAMT,41.005,-73.909,-0.7±0.1,-1.1±0.2,-1.2,-0.7,-1.1
7,-1.2±0.1,NJMT,40.796,-74.483,-0.9±0.1,-1.1±0.2,-1.2,-0.9,-1.1
8,-1.0±0.3,NYRH,40.923,-72.714,-1.2±0.1,-1.0±0.2,-1.0,-1.2,-1.0
8,-1.0±0.3,MOR6,40.789,-72.747,-1.0±0.2,-1.0±0.2,-1.0,-1.0,-1.0
8,-1.0±0.3,ZNY1,40.784,-73.097,-1.0±0.1,-1.0±0.2,-1.0,-1.0,-1.0
8,-1.0±0.3,NYCI,40.761,-73.198,-1.0±0.1,-1.0±0.2,-1.0,-1.0,-1.0
8,-1.0±0.3,NYQN,40.72,-73.73,-1.0±0.1,-1.0±0.2,-1.0,-1.0,-1.0
9,-1.4±0.7,NJNT,40.209,-74.037,-1.3±0.2,-1.3±0.3,-1.4,-1.3,-1.3
9,-1.4±0.7,NJOC,39.953,-74.194,-1.5±0.1,-1.3±0.3,-1.4,-1.5,-1.3
9,-1.4±0.7,NJGT,39.475,-74.531,-1.2±0.1,-1.3±0.3,-1.4,-1.2,-1.3
9,-1.4±0.7,NJCM,39.101,-74.803,-1.3±0.1,-1.3±0.3,-1.4,-1.3,-1.3
10,-1.3±0.3,DENE,39.677,-75.743,-1.5± 0.1,-1.5±0.4,-1.3,-1.5,-1.5
10,-1.3±0.3,RED5,39.561,-75.57,-1.8±0.1,-1.5±0.4,-1.3,-1.8,-1.5
10,-1.3±0.3,NJBR,39.423,-75.207,-1.6±0.2,-1.5±0.4,-1.3,-1.6,-1.5
10,-1.3±0.3,DEDO,39.187,-75.539,-1.3±0.3,-1.5±0.4,-1.3,-1.3,-1.5
10,-1.3±0.3,DNRC,39.16,-75.524,-1.4±0.1,-1.5±0.4,-1.3,-1.4,-1.5
10,-1.3±0.3,NJCM,39.101,-74.803,-1.3±0.1,-1.5±0.4,-1.3,-1.3,-1.5
11,-1.3±0.2,DEMI,38.61,-75.203,-1.5±0.3,-1.5±0.3,-1.3,-1.5,-1.5
12,-1.3±0.2,LOYB,38.728,-77.184,-1.4±0.2,-1.3±0.4,-1.3,-1.4,-1.3
12,-1.3±0.2,HNPT,38.589,-76.13,-1.2±0.0,-1.3±0.4,-1.3,-1.2,-1.3
12,-1.3±0.2,LOYM,38.311,-76.633,-1.4±0.2,-1.3±0.4,-1.3,-1.4,-1.3
12,-1.3±0.2,CORB,38.202,-77.373,-1.3±0.0,-1.3±0.4,-1.3,-1.3,-1.3
12,-1.3±0.2,LOYO,38.05,-77.348,-1.4±0.3,-1.3±0.4,-1.3,-1.4,-1.3
13,-1.3±0.3,VAWI,37.934,-75.471,-2.5±0.1,-1.8±0.3,-1.3,-2.5,-1.8
13,-1.3±0.3,LOYW,37.528,-75.848,-1.3±0.3,-1.8±0.3,-1.3,-1.3,-1.8
14,-1.0±0.1,NCEL,36.341,-76.258,-2.1±0.2,-2.1±0.3,-1.0,-2.1,-2.1
14,-1.0±0.1,NCDU,36.182,-75.751,-2.1±0.1,-2.1±0.3,-1.0,-2.1,-2.1
14,-1.0±0.1,NCCR,35.916,-76.474,-2.2±0.2,-2.1±0.3,-1.0,-2.2,-2.1
15,-0.8±0.3,NCCI,35.018,-76.315,-1.9±0.1,-1.4±0.4,-0.8,-1.9,-1.4
15,-0.8±0.3,NCJV,34.746,-77.453,-1.2±0.2,-1.4±0.4,-0.8,-1.2,-1.4
15,-0.8±0.3,NCBE,34.719,-76.672,-1.1±0.2,-1.4±0.4,-0.8,-1.1,-1.4
15,-0.8±0.3,NCFF,33.961,-77.939,-1.3 ±0.2,-1.4±0.4,-0.8,-1.3 ,-1.4
15,-0.8±0.3,NCSL,33.98,-78.39,-1.2 ±0.2,-1.5±0.4,-0.8,-1.2 ,-1.5
15,-0.8±0.3,SCHY,33.94,-78.73,-2.4 ±0.3,-1.5±0.4,-0.8,-2.4 ,-1.5
15,-0.8±0.3,KNS6,33.482,-79.343,-0.8±0.2,-1.5±0.4,-0.8,-0.8,-1.5
17,-0.6±0.2,SCWT,32.903,-80.668,-1.3±0.1,-1.0±0.4,-0.6,-1.3,-1.0
15,-0.8±0.3,SCHA,32.779,-79.925,-1.1±0.3,-1.0±0.4,-0.8,-1.1,-1.0
15,-0.8±0.3,SCJR,32.285,-81.08,-0.6±0.2,-1.0±0.4,-0.8,-0.6,-1.0
18,-0.4±0.1,GABK,31.151,-81.496,-0.2±0.2,-0.4±0.3,-0.4,-0.2,-0.4
18,-0.4±0.1,ZJX1,30.699,-81.908,-0.5±0.1,-0.4±0.3,-0.4,-0.5,-0.4
18,-0.4±0.1,JXVL,30.484,-81.7,-0.5 ±0.0,-0.4±0.3,-0.4,-0.5 ,-0.4
18,-0.4±0.1,PLTK,29.663,-81.688,-0.4±0.1,-0.4±0.3,-0.4,-0.4,-0.4
18,-0.4±0.1,ORMD,29.298,-81.109,-0.3±0.1,-0.4±0.3,-0.4,-0.3,-0.4